StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
2724,  3905,  4499,, ,,,0.83462578,+81.96723562,495.049504950495, 7.38,-1.09324315276688,G5          , 1.084
2726,  3909,  4813, 235,Gl  37   , 19Phi2Cet, ,0.83547899,-10.64377045,15.4583397743082,  5.17,4.22418575570244,F7IV-V      , 0.514
2729,  3914,  4798,, ,,,0.83743198,+28.36904615,182.815356489945, 7.23,0.919936631667155,K1III       , 1.096
2732,  3919,  4778, 234,,          , ,0.83839269,+45.00224079,90.8265213442325, 6.13,1.33893659485876,A0p...      , 0.043
2737,  3930, ,, ,,,0.84091975,+59.50273074,46.8603561387067,10.15,6.79597207544226, , 0.909
2743,  3937, ,,NN 3060 A,, ,0.84253199,+24.81682158,12.0192307692308, 12.7 ,12.3006166314536, ,      
2750,  3946,  4831,, ,,,0.84405157,+25.58496238,192.678227360308, 7.21,0.78583678924229,G8III       , 0.903
2753,  3949,  4919, 242,,   Rho Phe, ,0.84475779,-50.98692422,76.5696784073507, 5.24,0.819715884695277,F2III       , 0.356
2754,  3951,  4775, 233,,          , ,0.84543679,+64.24758084,249.376558603491, 5.35,-1.63427813689909,A4V comp SB , 0.528
2760,  3961,  5028,, ,,,0.84789851,-71.15152645,38.8500388500389, 6.86,3.91304271284184,F5V         , 0.447
2762,  3964,  4666,, ,,,0.84890086,+77.95356004,115.473441108545, 6.76,1.44758946008673,A5          , 0.274
2763,  3965,  4818, 238,,          , ,0.84924062,+51.50803371,66.6666666666667, 6.38,2.26045629527841,F2IV        , 0.307
2773,  3979,  4915,, ,,,0.85297069,-05.03898875,22.0896841175171, 6.98,5.25905247247626,G0          , 0.663
2775,  3981,  4869,, ,,,0.85340144,+38.04231291,292.397660818713, 7.15,-0.179869469719324,K0          , 1.345
2780,  3988,  4817, 237,,          , ,0.85455152,+61.80549823,763.358778625954, 6.04,-3.37364352172118,K5Ib        , 1.880
2782,  3992,  4928, 243,,          , ,0.85508642,+03.38517465,137.551581843191, 6.39,0.697672054295189,K0III       , 1.069
2783,  3995,  4939,, ,,,0.8555235,-09.40556546,82.3723228995058, 6.89,2.31109343369619,F2          , 0.490
2785,  3998,  4913,,Gl  39   ,, ,0.85603365,+18.73990110,21.8770509735288,  9.24,7.54005610644665,K2          , 1.194
2786,  3999,  4975,, ,,,0.85613202,-38.52874769,52.3834468308015, 7.14,3.54402964196833,G1V         , 0.593
2788,  4005,  4903,, ,,,0.85693578,+32.65728762,53.248136315229, 7.28,3.64847793965046,F8          , 0.559
2789,  4006,  4841,, ,,,0.85720283,+63.78117106,10000000, 6.87,-8.13,B5Ia        , 0.494
2791,  4010,  4989,, ,,,0.85742224,-43.59065723,47.9846449136276, 9.71,6.30448857313744,K1V         , 0.857
2792,  4012, ,,Gl  38   ,, ,0.8578047,+58.30104220,18.4399778720266, 10.67,9.34119802217728,M2          , 1.363
2795,  4017,  4902,, ,,,0.85836967,+41.23185846,297.619047619048, 7.26,-0.10830361305078,A0          ,-0.022
2797,  4021,  4965,, ,,,0.85907753,-03.14310731,235.294117647059, 7.25,0.391944650251558,A0          , 0.122
2798,  4022,  4967,,Gl  40  A,, ,0.8593421,-22.90939545,15.1952590791673,  8.96,8.05145945399998,K5V         , 1.290
2799,  4023,  4881, 241,,          , ,0.85938636,+51.57145327,352.112676056338, 6.22,-1.51340829976481,B9.5V       , 0.032
2800,  4024,  4972,, ,,,0.8595771,-14.89000959,37.6789751318764, 9.77,6.88950459264208,K2/K3V      , 1.069
2801,  4025,  4935,, ,,,0.85967686,+12.78482380,88.9679715302491, 6.70,1.95383155616521,F0          , 0.339
2802,  4030,  4934,, ,,,0.86027385,+22.62343661,411.522633744856, 7.14,-0.931968632008439,K0III       , 1.028
2803,  4031,  4971,, ,,,0.86035986,-08.81834977,229.357798165138, 7.23,0.427432446342931,K0          , 1.422
2809,  4038,  4912,, ,,,0.86307229,+48.05658159,294.985250737463, 7.49,0.140998491015411,K0          , 1.103
2811,  4041,  4741,, ,,,0.86377195,+78.62577543,40.2090872537193, 8.45,5.42837892634968,G5          , 0.780
2817,  4049,  5042, 245,,          , ,0.86448485,-43.70903814,85.7632933104631, 6.89,2.22349275211498,F2/F3V      , 0.362
2819,  4051,  4924,, ,,,0.86513238,+50.77467808,213.675213675214, 7.40,0.751229265370621,G5          , 1.087
2824,  4058,  4961,, ,,,0.8658591,+33.89003340,113.765642775882, 6.87,1.58994437536886,K2          , 1.375
2826,  4061, ,, ,,,0.86665317,+20.58313129,29.4985250737463,11.53,9.18099849101541, , 1.440
2831,  4067, ,, ,,,0.8692614,+06.80306437,27.5178866263071,11.80,9.60192461486008,K7          , 1.465
2835,  4072,  5058,, ,,,0.87024437,-22.61675897,54.1125541125541, 7.13,3.46350983442044,G0V         , 0.530
2844,  4084,  5190, 252,,   Lam1Tuc, ,0.8734759,-69.50359643,61.2369871402327, 6.67,2.73493092368334,F7IV/V      , 0.518
2845,  4087,  5036,, ,,,0.87448266,+21.41009210,93.1966449207828, 7.28,2.43299860982976,F7V         , 0.493
2847,  4089,  5038,, ,,,0.87468324,+13.64881626,132.100396301189, 7.38,1.77547939750036,A0          , 0.077
2855,  4100,  5006,, ,,,0.87722344,+45.13346368,225.733634311512, 7.44,0.672018631115349,M...        , 1.534
2857,  4103,  5035,, ,,,0.87778092,+31.45946741,38.6697602474865, 8.36,5.42314260272188,G0          , 0.707
2859,  4104,  5098, 247,,          , ,0.8779447,-24.00592567,153.374233128834, 5.47,-0.458762021340398,K1III       , 1.275
2860,  4106,  5097,, ,,,0.87794549,-21.43852822,10000000, 7.44,-7.56,K2/K3IIICNp , 1.633
2869,  4116,  4947,, ,,,0.87922872,+68.86580974,188.323917137476, 7.20,0.825472605407347,A2          , 0.100
2874,  4120,  5086,, ,,,0.87970647,+09.80358075,42.7533133817871, 8.50,5.34515110904577,K0          , 0.400
2877,  4127,  5065,, ,,,0.88106186,+40.24544245,41.9815281276238, 6.76,3.64470878573379,G0          , 0.595
2879,  4129,  5066, 246,,          , ,0.88148892,+38.54885598,232.018561484919, 6.70,-0.127613649196341,A2V         , 0.028
2890,  4147,  5112, 248,, 20    Cet, ,0.88346958,-01.14422060,159.235668789809, 4.78,-1.23020178131402,M0III       , 1.550
2892,  4148,  5133,,Gl  42   ,, ,0.8835321,-30.35699137,14.082523588227,  7.17,6.42659756324373,K2V         , 0.936
2894,  4151,  5015, 244,Gl  41   ,          , ,0.88452203,+61.12355735,18.5701021355617,  4.82,3.47592853817,F8V         , 0.540
2895,  4155,  5032,, ,,,0.88489108,+57.21918257,362.31884057971, 7.26,-0.535454589673911,B9          ,-0.026
2898,  4159,  5092,, ,,,0.88548688,+30.34923305,374.531835205993, 7.27,-0.597443693177122,K3III       , 1.498
2902,  4164,  5156, 251,,          , ,0.88677601,-24.77697293,74.4601638123604, 6.44,2.08038006334358,F3V         , 0.439
2906,  4171,  5119,, ,,,0.8883385,+19.76655054,98.4251968503937, 7.42,2.4544685397395,F3IV-V      , 0.362
2910,  4174,  5083,, ,,,0.88871409,+49.65565213,429.184549356223, 7.11,-1.0532203948699,B8          ,-0.015
2911,  4176,  5143,, ,,,0.88875354,+04.08629898,120.336943441637, 7.20,1.79800511892056,F0          , 0.362
2914,  4179,  4993,, ,,,0.88952281,+69.95608861,291.545189504373, 7.08,-0.243529399786147,M...        , 1.481
2915,  4189, ,, ,,,0.88995567,-41.23799485,23.4686693264492,11.92,10.0675576710023, , 1.490
2918,  4185,  5118, 249,,          , ,0.89117087,+37.41831737,114.678899082569, 6.07,0.772582424662836,K3III:      , 1.139
2926,  4194,  5185,, ,,,0.89301273,-22.20333385,47.2813238770686, 8.92,5.54655185855531,G6V         , 0.722
2928,  4196,  5138,, ,,,0.89329271,+29.08023366,191.570881226054, 7.33,0.918352515011311,A2          , 0.121
2930,  4197,  5137,, ,,,0.8936048,+29.48942142,137.362637362637, 6.70,1.01065689656519,K0III       , 0.872
2932,  4200,  5276, 257,,          , ,0.89382743,-62.87135327,187.96992481203, 5.73,-0.640441838524758,M4III       , 1.574
